,"Result coding: 1 = Pass (full functionality with no unexpected errors), 0 = Fail (lack of required functionality or reproducible error during testing), 9 = Conditional (partial functionality, error during testing which cannot be reproduced, poor user experience or other constraints) X = Functionality which is desirable for future iterations of the system. these items are not necessary for user acceptance of this version of the system",,,,,,,,,,,
,,,,,,,,,,,,
#,Test description,Test Protocol,Pass (all items),Fail (on any item),User,Test time,Result,Notes,User,Test time,Result,Notes
,,,,,,,,,,,,
,Data Extraction/Searching,,,,,,,,,,,
,A user with sufficient access can search data for all fields for a subject.,this is expanded below to include all the fields and ensure testing covers all,1. The user is able to search for certain results entered in any number of the relevant fields.,1. The user is unable to search for certain results entered in any number of the relevant fields.,,,,,,,,
,DEMOGRAPHIC/ADDRESS/PHONE/PERSON FIELDS,,,,,,,,,,,
,"A user with sufficient access can extract the field ""First Name""",,,,lspalding,,1,,,,,
,"A user with sufficient access can extract the field ""Consent Date""",,,,lspalding,,1,,,,,
,"A user with sufficient access can extract the field ""Subject UID""",,,,lspalding,,1,,,,,
,"A user with sufficient access can extract the field ""Post Code""",,,,lspalding,,1,,,,,
,"A user with sufficient access can extract the field ""Last Name""",,,,lspalding,,1,,,,,
,"A user with sufficient access can extract the field ""Sex""",,,,lspalding,,1,,,,,
,"A user with sufficient access can extract the field ""Vital Status""",,,,lspalding,,1,,,,,
,"A user with sufficient access can extract the field ""Marital Status""",,,,lspalding,,1,,,,,
,"A user with sufficient access can extract the field ""DOB""",,,,lspalding,,1,,,,,
,"A user with sufficient access can extract the field ""Date of Death""",,,,lspalding,,1,,,,,
,"A user with sufficient access can extract the field ""Cause of Death""",,,,lspalding,,1,,,,,
,"A user with sufficient access can extract the field ""Preferred Email""",,,,lspalding,,1,,,,,
,"A user with sufficient access can extract the field ""Other Email""",,,,lspalding,,1,,,,,
,"A user with sufficient access can extract the field ""Last Known Alive""",,,,lspalding,,1,,,,,
,"A user with sufficient access can extract the field ""Building Name/Unit""",,,,lspalding,,1,,,,,
,"A user with sufficient access can extract the field ""Street Address""",,,,lspalding,,1,,,,,
,"A user with sufficient access can extract the field ""City""",,,,lspalding,,1,,,,,
,"A user with sufficient access can extract the field ""Country""",,,,lspalding,,1,,,,,
,"A user with sufficient access can extract the field ""State""",,,,lspalding,,1,,,,,
,"A user with sufficient access can extract the field ""Other State""",,,,lspalding,,1,,,,,
,"A user with sufficient access can extract the field ""Address Status""",,,,lspalding,,1,,,,,
,"A user with sufficient access can extract the field ""Address Type""",,,,lspalding,,1,,,,,
,"A user with sufficient access can extract the field ""Phone Number""",,,,lspalding,,1,,,,,
,"A user with sufficient access can extract the field ""Title""",,,,lspalding,,1,,,,,
,"A user with sufficient access can extract the field ""Marital Status""",,,,lspalding,,1,,,,,
,"A user with sufficient access can extract the field ""Contact Method""",,,,lspalding,,1,,,,,
,"A user with sufficient access can extract the field ""Status""",,,,lspalding,,1,,,,,
,"A user with sufficient access can extract the field ""Consent Status""",,,,lspalding,,1,,,,,
,"A user with sufficient access can extract the field ""Consent Type""",,,,lspalding,,1,,,,,
,"A user with sufficient access can extract the field ""Consent Downloaded""",,,,lspalding,,1,,,,,
,"A user with sufficient access can extract the field ""Consent To Passive Data Gathering""",,,,lspalding,,1,,,,,
,"A user with sufficient access can extract the field ""Consent To Active Contact""",,,,lspalding,,1,,,,,
,"A user with sufficient access can extract the field ""Consent To Use Data""",,,,lspalding,,1,,,,,
,"A user with sufficient access can extract the field ""Heard About Study""",,,,lspalding,,1,,,,,
,"A user with sufficient access can extract the field ""Subject Comments""",,,,lspalding,,1,,,,,
,"A user with sufficient access can extract the field ""Other Email Status""",,,,lspalding,,1,,,,,
,"A user with sufficient access can extract the field ""PreferredEmailStatus""",,,,lspalding,,1,,,,,
,"A user with sufficient access can extract the field ""Date Address Received""",,,,lspalding,,1,,,,,
,"A user with sufficient access can extract the field ""Address Comments""",,,,lspalding,,1,,,,,
,"A user with sufficient access can extract the field ""Address Source""",,,,lspalding,,1,,,,,
,"A user with sufficient access can extract the field ""Phone Type""",,,,lspalding,,1,,,,,
,"A user with sufficient access can extract the field ""Area Code""",,,,lspalding,,1,,,,,
,"A user with sufficient access can extract the field ""Phone Status""",,,,lspalding,,1,,,,,
,"A user with sufficient access can extract the field ""Phone Source""",,,,lspalding,,1,,,,,
,"A user with sufficient access can extract the field ""Date Received""",,,,lspalding,,1,,,,,
,"A user with sufficient access can extract the field ""Silent Mode""",,,,lspalding,,1,,,,,
,"A user with sufficient access can extract the field ""Phone Comment""",,,,lspalding,,1,,,,,
,"A user with sufficient access can filter on the field ""First Name""",,,,lspalding,,1,,,,,
,"A user with sufficient access can filter on the field ""Consent Date""",,,,lspalding,,1,,,,,
,"A user with sufficient access can filter on the field ""Subject UID""",,,,lspalding,,1,,,,,
,"A user with sufficient access can filter on the field ""Post Code""",,,,lspalding,,1,,,,,
,"A user with sufficient access can filter on the field ""Last Name""",,,,lspalding,,1,,,,,
,"A user with sufficient access can filter on the field ""Sex""",,,,lspalding,,1,,,,,
,"A user with sufficient access can filter on the field ""Vital Status""",,,,lspalding,,1,,,,,
,"A user with sufficient access can filter on the field ""Marital Status""",,,,lspalding,,1,,,,,
,"A user with sufficient access can filter on the field ""DOB""",,,,lspalding,,1,,,,,
,"A user with sufficient access can filter on the field ""Date of Death""",,,,lspalding,,1,,,,,
,"A user with sufficient access can filter on the field ""Cause of Death""",,,,lspalding,,1,,,,,
